city_ascii,country,lat,lng
Tokyo,Japan,35.6897,139.6922
Jakarta,Indonesia,-6.175,106.8275
Delhi,India,28.61,77.23
Guangzhou,China,23.13,113.26
Mumbai,India,19.0761,72.8775
Manila,Philippines,14.5958,120.9772
Shanghai,China,31.1667,121.4667
Sao Paulo,Brazil,-23.55,-46.6333
Seoul,South Korea,37.56,126.99
Mexico City,Mexico,19.4333,-99.1333
Cairo,Egypt,30.0444,31.2358
New York,United States,40.6943,-73.9249
Dhaka,Bangladesh,23.7639,90.3889
Beijing,China,39.904,116.4075
Kolkata,India,22.5675,88.37
Bangkok,Thailand,13.7525,100.4942
Shenzhen,China,22.535,114.054
Moscow,Russia,55.7558,37.6178
Buenos Aires,Argentina,-34.5997,-58.3819
Lagos,Nigeria,6.455,3.3841
Istanbul,Turkey,41.0136,28.955
Karachi,Pakistan,24.86,67.01
Bangalore,India,12.9789,77.5917
Ho Chi Minh City,Vietnam,10.7756,106.7019
Osaka,Japan,34.6939,135.5022
Chengdu,China,30.66,104.0633
Tehran,Iran,35.6892,51.3889
Kinshasa,Congo (Kinshasa),-4.325,15.3222
Rio de Janeiro,Brazil,-22.9111,-43.2056
Chennai,India,13.0825,80.275
Xi'an,China,34.2667,108.9
Lahore,Pakistan,31.5497,74.3436
Chongqing,China,29.55,106.5069
Los Angeles,United States,34.1141,-118.4068
Baoding,China,38.8671,115.4845
London,United Kingdom,51.5072,-0.1275
Paris,France,48.8567,2.3522
Linyi,China,35.1041,118.3502
Dongguan,China,23.0475,113.7493
Hyderabad,India,17.385,78.4867
Tianjin,China,39.1467,117.2056
Lima,Peru,-12.06,-77.0375
Wuhan,China,30.5872,114.2881
Nanyang,China,32.9987,112.5292
Hangzhou,China,30.25,120.1675
Foshan,China,23.0292,113.1056
Nagoya,Japan,35.1833,136.9
Tongshan,China,34.261,117.1859
Taipei,Taiwan,25.0375,121.5625
Luanda,Angola,-8.8383,13.2344
Zhoukou,China,33.625,114.6418
Ganzhou,China,25.8292,114.9336
Kuala Lumpur,Malaysia,3.1478,101.6953
Heze,China,35.2333,115.4333
Quanzhou,China,24.9139,118.5858
Chicago,United States,41.8375,-87.6866
Nanjing,China,32.0608,118.7789
Jining,China,35.4,116.5667
Hanoi,Vietnam,21.0283,105.8542
Pune,India,18.5203,73.8567
Fuyang,China,32.8986,115.8045
Ahmedabad,India,23.03,72.58
Johannesburg,South Africa,-26.2044,28.0456
Bogota,Colombia,4.7111,-74.0722
Shenyang,China,41.8025,123.4281
Dar es Salaam,Tanzania,-6.8161,39.2803
Khartoum,Sudan,15.5006,32.56
Shangqiu,China,34.4259,115.6467
Cangzhou,China,38.3037,116.8452
Hong Kong,Hong Kong,22.3,114.2
Shaoyang,China,27.2418,111.4725
Zhanjiang,China,21.1967,110.4031
Yancheng,China,33.3936,120.1339
Hengyang,China,26.8968,112.5857
Riyadh,Saudi Arabia,24.6333,46.7167
Zhumadian,China,32.9773,114.0253
Santiago,Chile,-33.4372,-70.6506
Xingtai,China,37.0659,114.4753
Chattogram,Bangladesh,22.335,91.8325
Bijie,China,27.3019,105.2863
Shangrao,China,28.4419,117.9633
Zunyi,China,27.705,106.9336
Surat,India,21.1702,72.8311
Surabaya,Indonesia,-7.2458,112.7378
Huanggang,China,30.45,114.875
Maoming,China,21.6618,110.9178
Nanchong,China,30.7991,106.0784
Xinyang,China,32.1264,114.0672
Madrid,Spain,40.4169,-3.7033
Baghdad,Iraq,33.3153,44.3661
Qujing,China,25.5102,103.8029
Jieyang,China,23.5533,116.3649
Singapore,Singapore,1.3,103.8
Prayagraj,India,25.4358,81.8464
Liaocheng,China,36.45,115.9833
Dalian,China,38.9,121.6
Yulin,China,22.6293,110.1507
Changde,China,29.0397,111.6839
Qingdao,China,36.1167,120.4
Douala,Cameroon,4.05,9.7
Miami,United States,25.784,-80.2101
Nangandao,China,35.2992,113.8851
Pudong,China,31.2231,121.5397
Xiangyang,China,32.0654,112.1531
Dallas,United States,32.7935,-96.7667
Houston,United States,29.786,-95.3885
Zhengzhou,China,34.7492,113.6605
Lu'an,China,31.7542,116.5078
Dezhou,China,37.4513,116.3105
Jinan,China,36.6667,116.9833
Giza,Egypt,29.987,31.2118
Zhaotong,China,27.3328,103.7144
Yichun,China,27.8041,114.383
Nairobi,Kenya,-1.2864,36.8172
Guadalajara,Mexico,20.6767,-103.3475
Philadelphia,United States,40.0077,-75.1339
Ankara,Turkey,39.93,32.85
Tai'an,China,36.2001,117.0809
Dazhou,China,31.2152,107.4947
Langfang,China,39.5196,116.7006
Yongzhou,China,26.4515,111.5953
Toronto,Canada,43.7417,-79.3733
Suihua,China,46.6384,126.9808
Saint Petersburg,Russia,59.95,30.3167
Qiqihar,China,47.3398,123.9512
Suzhou,China,33.6333,116.9683
Monterrey,Mexico,25.6667,-100.3
Belo Horizonte,Brazil,-19.9167,-43.9333
Weinan,China,34.4996,109.4684
Rangoon,Myanmar,16.795,96.16
Zhangzhou,China,24.5093,117.6612
Yuncheng,China,35.0304,110.998
Xianyang,China,34.35,108.7167
Guilin,China,25.2819,110.2864
Atlanta,United States,33.7628,-84.422
Taizhou,China,32.4831,119.9
Kashan,Iran,33.9833,51.4333
Bozhou,China,33.8626,115.7742
Suqian,China,33.9331,118.2831
Abidjan,Côte d'Ivoire,5.3167,-4.0333
Huaihua,China,27.5494,109.9592
Ji'an,China,27.1172,114.9793
Xiaoganzhan,China,30.9273,113.911
Pingdingshan,China,33.735,113.2999
Jiujiang,China,29.7048,116.0021
Alexandria,Egypt,31.1975,29.8925
Mianyang,China,31.4669,104.7385
Sydney,Australia,-33.8678,151.21
Huanglongsi,China,34.795,114.345
Washington,United States,38.9047,-77.0163
Barcelona,Spain,41.3825,2.1769
Changsha,China,28.1987,112.9709
Chenzhou,China,25.7989,113.0267
Anqing,China,30.5,117.0333
Jiangmen,China,22.5833,113.0833
Xinpu,China,34.5906,119.1801
Yibin,China,28.7596,104.64
Yangzhou,China,32.3912,119.4363
Melbourne,Australia,-37.8142,144.9631
Berlin,Germany,52.52,13.405
Hengshui,China,37.7348,115.686
Timbio,Colombia,2.3445,-76.6839
Kunming,China,25.0433,102.7061
Yiyang,China,28.5833,112.3333
Guigang,China,23.0961,109.6092
Changchun,China,43.9,125.2
Jiangguanchi,China,34.0244,113.8201
Meizhou,China,24.2998,116.1191
Casablanca,Morocco,33.5333,-7.5833
Zhangjiakou,China,40.8108,114.8811
Chifeng,China,42.2663,118.9223
Urumqi,China,43.8225,87.6125
Izmir,Turkey,38.42,27.14
Linfen,China,36.0812,111.5087
Shantou,China,23.3735,116.6941
Kabul,Afghanistan,34.5253,69.1783
Mogadishu,Somalia,2.0392,45.3419
Luzhou,China,28.8918,105.4409
Hefei,China,31.8639,117.2808
Boston,United States,42.3188,-71.0852
Liuzhou,China,24.3264,109.4281
Zhaoqing,China,23.05,112.4667
Xiaoxita,China,30.7083,111.2803
Shijiazhuang,China,38.0422,114.5086
Ningbo,China,29.875,121.5492
Fuzhou,China,27.9814,116.3577
Phoenix,United States,33.5722,-112.0892
Zhuzhou,China,27.8407,113.1469
Amman,Jordan,31.9497,35.9328
Chuzhou,China,32.3062,118.3115
Jeddah,Saudi Arabia,21.5433,39.1728
Qingyuan,China,23.6842,113.0507
Loudi,China,27.7378,111.9974
Binzhou,China,37.3806,118.0125
Deyang,China,31.1289,104.395
Taiyuan,China,37.8733,112.5425
Kano,Nigeria,12.0,8.5167
Wuhu,China,31.334,118.3622
Nanning,China,22.8192,108.315
Harbin,China,45.75,126.6333
Abuja,Nigeria,9.0667,7.4833
Yokohama,Japan,35.4442,139.6381
Baojishi,China,34.3609,107.1751
Zaozhuang,China,34.8667,117.55
Xiamen,China,24.4797,118.0819
Neijiang,China,29.5872,105.0635
Baicheng,China,23.901,106.6194
Anshan,China,41.1066,122.9895
Yulinshi,China,38.2655,109.7388
Medan,Indonesia,3.5894,98.6739
Wenzhou,China,27.9991,120.6561
Changzhou,China,31.8122,119.9692
Puyang,China,35.7639,115.03
Jiaozuo,China,35.229,113.2304
Nanchang,China,28.6842,115.8872
Ibadan,Nigeria,7.3964,3.9167
Hechi,China,24.6928,108.085
Detroit,United States,42.3834,-83.1024
Montreal,Canada,45.5089,-73.5617
Busan,South Korea,35.18,129.075
Hohhot,China,40.8151,111.6629
Seattle,United States,47.6211,-122.3244
Hanzhong,China,33.0794,107.026
Algiers,Algeria,36.7539,3.0589
Tangshan,China,39.6292,118.1742
Shiyan,China,32.6351,110.7755
Siping,China,43.1715,124.3644
Lucknow,India,26.85,80.95
Mashhad,Iran,36.3,59.6
Boankra,Ghana,6.6944,-1.4028
Changzhi,China,36.1953,113.097
Dubai,United Arab Emirates,25.2631,55.2972
Qinzhou,China,21.95,108.6167
Guiyang,China,26.5794,106.7078
Bengbu,China,32.9354,117.3531
San Francisco,United States,37.7558,-122.4449
Bazhou,China,31.8576,106.7559
Qincheng,China,34.5809,105.7311
Suining,China,30.5098,105.5737
Wuxi,China,31.5667,120.2833
Leshan,China,29.5854,103.7575
Putian,China,25.4394,119.0103
Zhenjiang,China,32.2109,119.4551
Guang'an,China,30.4673,106.6336
Faisalabad,Pakistan,31.4167,73.0911
Tongren,China,27.7233,109.1885
Santa Cruz,Bolivia,-17.7892,-63.1975
Qinhuangdao,China,39.9398,119.5881
Tongliao,China,43.6172,122.264
Jinzhou,China,41.1144,121.1292
Heyuan,China,23.7503,114.6923
San Diego,United States,32.8313,-117.1222
Jaipur,India,26.9,75.8
Xinzhou,China,38.4178,112.7233
Lanzhou,China,36.0617,103.8318
Wuzhou,China,23.4833,111.3167
Chaoyang,China,41.5757,120.4486
Athens,Greece,37.9842,23.7281
Addis Ababa,Ethiopia,9.03,38.74
Brasilia,Brazil,-15.7939,-47.8828
Taichung,Taiwan,24.1439,120.6794
Kuwait City,Kuwait,29.3697,47.9783
Budapest,Hungary,47.4925,19.0514
Shaoguan,China,24.8011,113.5927
Shanwei,China,22.7664,115.3331
Rizhao,China,35.4164,119.4331
Kyiv,Ukraine,50.45,30.5233
Quezon City,Philippines,14.63,121.03
Sanaa,Yemen,15.3483,44.2064
Meishan,China,30.0575,103.8381
Incheon,South Korea,37.4833,126.6333
Guatemala City,Guatemala,14.6099,-90.5252
Birmingham,United Kingdom,52.48,-1.9025
Ningde,China,26.6617,119.5228
Zhongshan,China,22.5333,113.35
Weihai,China,37.5,122.1
Daqing,China,46.5979,125.008
Bursa,Turkey,40.1833,29.05
Salvador,Brazil,-12.9747,-38.4767
Haikou,China,20.02,110.32
Rome,Italy,41.8931,12.4828
La Paz,Bolivia,-16.5,-68.15
Xiangtan,China,27.8431,112.9228
Pyongyang,North Korea,39.0194,125.7381
Minneapolis,United States,44.9635,-93.2678
Omdurman,Sudan,15.65,32.4833
Mudanjiang,China,44.5861,129.5997
Malang,Indonesia,-7.98,112.62
Stuttgart,Germany,48.7775,9.18
Brooklyn,United States,40.6501,-73.9496
Kaohsiung,Taiwan,22.615,120.2975
Guayaquil,Ecuador,-2.19,-79.8875
Longyan,China,25.0881,117.0244
Lisbon,Portugal,38.7253,-9.15
Tieling,China,42.2841,123.8365
Baotou,China,40.6562,109.8345
Handan,China,36.6116,114.4894
Manchester,United Kingdom,53.4794,-2.2453
Cawnpore,India,26.4499,80.3319
Dingxi,China,35.5806,104.6263
Nanping,China,26.6448,118.1728
Tampa,United States,27.9945,-82.4447
Zigong,China,29.3498,104.7645
Maracaibo,Venezuela,10.6333,-71.6333
Chaozhou,China,23.67,116.63
Denver,United States,39.762,-104.8758
Mbuji-Mayi,Congo (Kinshasa),-6.15,23.6
Weifang,China,36.7167,119.1
Huai'an,China,33.5058,119.1392
Zibo,China,36.7831,118.0497
Ankang,China,32.6877,109.0235
Baoshan,China,25.1211,99.169
Huludao,China,40.7094,120.8378
Antananarivo,Madagascar,-18.9333,47.5167
Munich,Germany,48.1375,11.575
Gulou,China,26.0865,119.298
Yanjiang,China,30.1256,104.6397
Santo Domingo,Dominican Republic,18.4764,-69.8933
Sanming,China,26.2658,117.6302
Tashkent,Uzbekistan,41.3111,69.2797
Longba,China,33.535,105.349
Yangjiang,China,21.8556,111.9627
Jiamusi,China,46.8081,130.3653
Luohe,China,33.583,114.0109
Lincang,China,23.8864,100.0871
Xuanzhou,China,30.9475,118.7518
Medellin,Colombia,6.2308,-75.5906
Yunfu,China,22.9242,112.0353
Shaoxing,China,30.0,120.5833
Yantai,China,37.3997,121.2664
Huizhou,China,23.1115,114.4152
Lishui,China,28.45,119.9167
Mirzapur,India,25.146,82.569
Hamburg,Germany,53.55,10.0
Guangyuan,China,32.4353,105.8398
Huangshi,China,30.2018,115.0326
Cali,Colombia,3.4206,-76.5222
Xining,China,36.6239,101.7787
Lusaka,Zambia,-15.4167,28.2833
Daegu,South Korea,35.8717,128.6017
Ouagadougou,Burkina Faso,12.3686,-1.5275
Fortaleza,Brazil,-3.7275,-38.5275
Dandong,China,40.1167,124.3833
Yaounde,Cameroon,3.8667,11.5167
Zhuhai,China,22.2769,113.5678
Yingkou,China,40.6653,122.2297
Antalya,Turkey,36.8874,30.7075
Lianshan,China,40.7523,120.828
Nagpur,India,21.1497,79.0806
Queens,United States,40.7498,-73.7976
Jilin,China,43.8519,126.5481
Accra,Ghana,5.55,-0.2
Yuxi,China,24.3495,102.5432
Bekasi,Indonesia,-6.2349,106.9923
Ghaziabad,India,28.67,77.42
Luoyang,China,34.6587,112.4245
Brisbane,Australia,-27.4678,153.0281
Anshun,China,26.2456,105.934
Shangzhou,China,33.868,109.9244
Huainan,China,32.4831,117.0164
Depok,Indonesia,-6.394,106.8225
Kuaidamao,China,41.7302,125.9471
Colombo,Sri Lanka,6.9344,79.8428
Baku,Azerbaijan,40.3667,49.8352
Fukuoka,Japan,33.5833,130.4
Yan'an,China,36.5952,109.4863
Jincheng,China,35.4906,112.8483
Vancouver,Canada,49.25,-123.1
Nantong,China,31.9829,120.8873
Caracas,Venezuela,10.4806,-66.9036
Tangerang,Indonesia,-6.1783,106.6319
Sanmenxia,China,34.7736,111.195
Laibin,China,23.7333,109.2333
Konya,Turkey,37.8667,32.4833
Manaus,Brazil,-3.1,-60.0167
Esfahan,Iran,32.6447,51.6675
Qinbaling,China,35.7278,107.64
Baltimore,United States,39.3051,-76.6144
Ma'anshan,China,31.6858,118.5101
Shengli,China,37.45,118.4667
Gaoping,China,30.7824,106.1281
Las Vegas,United States,36.2333,-115.2654
Harare,Zimbabwe,-17.8292,31.0522
Perth,Australia,-31.9559,115.8606
Havana,Cuba,23.1367,-82.3589
Phnom Penh,Cambodia,11.5694,104.9211
Puning,China,23.2993,116.1586
Huaibei,China,33.9562,116.789
Qingyang,China,24.8141,118.5792
Kowloon,Hong Kong,22.3167,114.1833
Haiphong,Vietnam,20.8651,106.6838
Chongzuo,China,22.4167,107.3667
Rawalpindi,Pakistan,33.6,73.0333
Yushan,China,31.3867,120.9766
St. Louis,United States,38.6359,-90.2451
Hezhou,China,24.4164,111.5478
Kumasi,Ghana,6.6667,-1.6167
Pingliang,China,35.5412,106.6819
Vadodara,India,22.3,73.2
Portland,United States,45.5371,-122.65
Vishakhapatnam,India,17.7042,83.2978
Gaziantep,Turkey,37.0628,37.3792
Gujranwala,Pakistan,32.1567,74.19
Fushun,China,41.8708,123.8917
Riverside,United States,33.9381,-117.3949
Quito,Ecuador,-0.22,-78.5125
Minsk,Belarus,53.9,27.5667
Bamako,Mali,12.6458,-7.9922
Tijuana,Mexico,32.525,-117.0333
Bamenda,Cameroon,5.9614,10.1517
Boosaaso,Somalia,11.2886,49.1819
Indore,India,22.7167,75.8472
Sanliurfa,Turkey,37.1583,38.7917
Karaj,Iran,35.8272,50.9489
Vienna,Austria,48.2083,16.3725
Kananga,Congo (Kinshasa),-5.897,22.4488
Peshawar,Pakistan,34.0144,71.5675
Sapporo,Japan,43.0667,141.35
Pingxiang,China,27.6333,113.85
Ecatepec,Mexico,19.6097,-99.06
Orlando,United States,28.4773,-81.337
Sacramento,United States,38.5677,-121.4685
Almaty,Kazakhstan,43.2775,76.8958
Aleppo,Syria,36.2,37.16
San Juan,Puerto Rico,18.3985,-66.061
San Antonio,United States,29.4632,-98.5238
Yinchuan,China,38.4795,106.2254
Santos,Brazil,-23.9369,-46.325
Blantyre,Malawi,-15.7861,35.0058
Thane,India,19.1972,72.9722
Bucharest,Romania,44.4325,26.1039
Curitiba,Brazil,-25.4297,-49.2711
Tainan,Taiwan,22.9833,120.1833
Xiping,China,40.082,113.2981
Multan,Pakistan,30.1978,71.4697
Port Harcourt,Nigeria,4.8242,7.0336
Jixi,China,45.2937,130.965
Saidu Sharif,Pakistan,34.75,72.3572
Warsaw,Poland,52.23,21.0111
Liaoyang,China,41.2643,123.1772
Beihai,China,21.4667,109.1
Meru,Kenya,0.05,37.65
Brazzaville,Congo (Brazzaville),-4.2694,15.2714
Fuxin,China,42.0127,121.6486
Wuwei,China,37.9278,102.6329
Mersin,Turkey,36.8,34.6333
Bhopal,India,23.25,77.4167
Lubumbashi,Congo (Kinshasa),-11.6647,27.4794
Denpasar,Indonesia,-8.65,115.2167
Davao,Philippines,7.0667,125.6
Shuyangzha,China,34.1299,118.7734
Adana,Turkey,37.0,35.3213
